trade_date,ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
20100716,399300.SZ,20100716,2616.128,2597.0,2621.332,2573.794,2608.519,7.609,0.2917,35063302.0,35422326.209
20100719,399300.SZ,20100719,2682.472,2592.087,2691.937,2585.007,2616.128,66.344,2.536,53868070.0,59826125.817
20100720,399300.SZ,20100720,2741.503,2685.459,2746.237,2685.459,2682.472,59.031,2.2006,73128345.0,80958216.794
20100721,399300.SZ,20100721,2747.335,2744.696,2766.205,2733.721,2741.503,5.832,0.2127,70757092.0,73734684.585
20100722,399300.SZ,20100722,2781.286,2738.027,2783.138,2734.071,2747.335,33.951,1.2358,61064806.0,63576603.0
20100723,399300.SZ,20100723,2793.076,2787.521,2806.979,2769.44,2781.286,11.79,0.4239,64518565.0,70423335.023
20100726,399300.SZ,20100726,2811.055,2798.762,2811.953,2775.778,2793.076,17.979,0.6437,53580026.0,59848905.278
20100727,399300.SZ,20100727,2795.724,2803.755,2812.208,2785.374,2811.055,-15.331,-0.5454,49799884.0,55963991.462
20100728,399300.SZ,20100728,2863.724,2796.483,2866.404,2784.155,2795.724,68.0,2.4323,79985954.0,84516845.765
20100729,399300.SZ,20100729,2877.976,2866.772,2888.599,2851.996,2863.724,14.252,0.4977,95965409.0,92278224.492
20100730,399300.SZ,20100730,2868.846,2871.481,2876.136,2844.682,2877.976,-9.13,-0.3172,62575591.0,65224482.367
20100802,399300.SZ,20100802,2917.275,2868.279,2922.612,2867.45,2868.846,48.429,1.6881,71743300.0,73569074.427
20100803,399300.SZ,20100803,2865.971,2925.254,2929.614,2865.761,2917.275,-51.304,-1.7586,81748364.0,86870574.135
20100804,399300.SZ,20100804,2876.434,2858.354,2876.595,2818.248,2865.971,10.463,0.3651,71318039.0,75670144.265
20100805,399300.SZ,20100805,2850.829,2874.66,2877.31,2833.669,2876.434,-25.605,-0.8902,67157581.0,73038457.567
20100806,399300.SZ,20100806,2897.659,2848.155,2898.534,2821.033,2850.829,46.83,1.6427,74914895.0,82145150.913
20100809,399300.SZ,20100809,2918.241,2894.103,2922.624,2888.045,2897.659,20.582,0.7103,74726391.0,83431980.844
20100810,399300.SZ,20100810,2832.638,2920.404,2925.296,2832.078,2918.241,-85.603,-2.9334,78435034.0,84283699.448
20100811,399300.SZ,20100811,2850.211,2823.15,2864.361,2823.15,2832.638,17.573,0.6204,54979133.0,58786302.173
20100812,399300.SZ,20100812,2816.386,2822.791,2860.369,2810.102,2850.211,-33.825,-1.1868,59893227.0,65825613.506
20100813,399300.SZ,20100813,2855.547,2818.41,2856.043,2799.221,2816.386,39.161,1.3905,58507721.0,62923747.79
20100816,399300.SZ,20100816,2922.083,2851.219,2927.688,2843.024,2855.547,66.536,2.3301,81068043.0,91427507.573
20100817,399300.SZ,20100817,2942.291,2927.258,2949.73,2917.834,2922.083,20.208,0.6916,76452912.0,86700542.871
20100818,399300.SZ,20100818,2937.362,2945.979,2962.749,2924.668,2942.291,-4.929,-0.1675,70747600.0,80832368.101
20100819,399300.SZ,20100819,2955.395,2940.767,2975.188,2928.013,2937.362,18.033,0.6139,76924865.0,91734587.115
20100820,399300.SZ,20100820,2898.333,2943.334,2951.956,2892.64,2955.395,-57.062,-1.9308,71663306.0,82298173.112
20100823,399300.SZ,20100823,2896.192,2895.707,2920.541,2886.659,2898.333,-2.141,-0.0739,48915517.0,57772779.3
20100824,399300.SZ,20100824,2911.827,2892.129,2933.118,2866.802,2896.192,15.635,0.5398,61093796.0,65036592.635
20100825,399300.SZ,20100825,2843.023,2893.986,2904.662,2842.249,2911.827,-68.804,-2.3629,63610621.0,67048224.427
20100826,399300.SZ,20100826,2850.093,2853.105,2868.878,2836.129,2843.023,7.07,0.2487,48670442.0,51862922.913
20100827,399300.SZ,20100827,2858.566,2847.448,2861.074,2833.422,2850.093,8.473,0.2973,40789582.0,46699343.358
20100830,399300.SZ,20100830,2915.01,2874.247,2921.085,2872.918,2858.566,56.444,1.9746,65749882.0,77341616.491
20100831,399300.SZ,20100831,2903.188,2905.154,2910.06,2889.808,2915.01,-11.822,-0.4056,65766104.0,79976347.302
20100901,399300.SZ,20100901,2884.042,2907.663,2931.76,2859.166,2903.188,-19.146,-0.6595,76975578.0,87931887.194
20100902,399300.SZ,20100902,2921.393,2917.735,2931.547,2903.028,2884.042,37.351,1.2951,70700851.0,88923142.593
20100903,399300.SZ,20100903,2920.205,2926.939,2929.548,2891.878,2921.393,-1.188,-0.0407,72641027.0,87724829.649
20100906,399300.SZ,20100906,2975.09,2935.89,2980.424,2935.89,2920.205,54.885,1.8795,93855681.0,110466116.424
